,Reason,Orders
0,Substantial Similarity,190
1,Access,161
2,Copyright Infringement — Elements,124
3,Copyright Registration,84
4,Foreign Respondent,68
5,Infringing Activity,61
6,Legal or Beneficial Ownership,55
7,Copyright Infringement — Substantial Similarity,42
8,Copyright Infringement Claim — Registration,40
9,Copyright Infringement — Access,40
10,Copyright Infringement — Infringing Activity,33
11,Copyright Infringement Claim — Elements,30
12,Copyright Infringement Claim — Substantial Similarity,29
13,Respondent Clarity,28
14,Infringing Activity — Clarity,25
15,Relief Requested,25
16,Registration,25
17,Allegedly Infringed Work,25
18,Copyright Infringement Claim — Clarity,24
19,Copyright Infringement Claim — Access,23
20,Online Service Provider,22
21,Registration Number,19
22,Misrepresentation — Clarity,19
23,Proper Respondent,18
24,Supplemental Documents,17
25,Permissible Claim,17
26,Respondent Information,17
27,Copyright Infringement Claim — Legal or Beneficial Ownership,17
28,Work Infringed — Clarity,16
29,Impermissible Claim,16
30,Misrepresentation — Elements,15
31,Improper Pleading Form,15
32,Respondent Address,14
33,Works Infringed — Clarity,14
34,Misrepresentation Claim — Reliance by Online Service Provider,13
35,Legal and Beneficial Ownership,12
36,Impermissible Claims,11
37,Copyright Infringement Claim — Online Service Provider,10
38,Clarity — Allegedly Infringed Works,10
39,Noninfringement Claim — Clarity,10
40,Supplemental Documentation,10
41,Copyright Infringement — Legal or Beneficial Ownership,10
42,Claimant Information,9
43,Authorized Representative,8
44,Statute of Limitations,8
45,Clarity,7
46,Clarity — Infringing Activity,7
47,Misrepresentation,7
48,Copyright Infringement Claim — Infringing Activity,7
49,Relief Sought,7
50,Copyright Infringement — Online Service Provider,6
51,Misrepresentation Claim — Clarity,6
52,Proper Claimant,6
53,Misrepresentation Claim — No misrepresentation,6
54,Clarity — Allegedly Infringed Work,6
55,Copyright Infringement — Permissible Claim,6
56,Contact Information,6
57,Misrepresentation Claim,6
58,Copyright Infringement — Respondent Clarity,5
59,Misrepresentation Claim — No Misrepresentation,5
60,Allegedly Infringed Work — Clarity,5
61,Misrepresentation Claim — Proper Respondent,5
62,Legal or Beneficial Owner,5
63,Respondent Contact Information,5
64,Impermissible Claim — Breach of Contract,5
65,Copyright Infringement — Registration,5
66,Issue — Copyright Infringement Claim — Clarity,4
67,Elements of an Implied License,4
68,Issue — Permissible Claim,4
69,Scope of an Implied License,4
70,Secondary Infringement,4
71,Takedown Notice,4
72,Condition Precedent to an Implied License,4
73,Implied License,4
74,Copyright Infringement — Ownership,4
75,Infringed Works,4
76,Proper Respondents,4
77,Relief,4
78,Condition Precedent,4
79,Copyright Ownership,3
80,Allegedly Infringing Activity,3
81,Infringement — Online Service Provider,3
82,Infringement Claim — Access,3
83,Improper Form,3
84,Designated Service Agent,3
85,Unrelated Respondents,3
86,Infringed Work,3
87,Author,3
88,Improper Relief Sought,3
